Montagne,Date,Name,Nationality,Cause of death
Annapurna-I,03/05/2019,Wui Kin Chin,Malaysia,Hypothermia/Frostbite
Annapurna-I,24/03/2015,Samuli Mansikka,Finland,Fall
Annapurna-I,24/03/2015,Pemba Sherpa,Nepal,Fall
Annapurna-I,07/10/2012,Ivan Lobanov,Uzbekistan,Avalanche
Annapurna-I,07/10/2012,Iljas Tukhvatullin,Uzbekistan,Avalanche
Annapurna-I,05/05/2012,Tibor Horváth,Hungary,Avalanche
Annapurna-I,18/10/2011,Young-seok Park,South Korea,Unknown
Annapurna-I,18/10/2011,Dong-min Shin,South Korea,Unknown
Annapurna-I,18/10/2011,Ki-seok Kang,South Korea,Unknown
Annapurna-I,29/04/2010,Tolo Calafat,Spain,Unknown
Annapurna-I,04/2009,Martin Minařík,Czech Republic,Fell into Crevasse
Annapurna-I,23/05/2008,Iñaki Ochoa de Olza,Spain,HACE
Annapurna-I,22/04/2007,Udhav Prasad Khanal,Nepal,Unknown
Annapurna-I,22/10/2006,Lhakpa Rita II,Nepal,Avalanche
Annapurna-I,18/05/2005,Christian Kuntner,Italy,Avalanche
Annapurna-I,10/10/2004,Hideji Nazuka,Japan,Avalanche
Annapurna-I,10/10/2004,Michio Sato,Japan,Avalanche
Annapurna-I,29/04/1999,Hyun-ok Ji,South Korea,Unknown
Annapurna-I,29/04/1999,Dorje Kami,Nepal,Unknown
Annapurna-I,26/04/1998,Ang Tshering,Nepal,Avalanche
Annapurna-I,25/12/1997,Anatoli Boukreev,Kazakhstan,Avalanche
Annapurna-I,25/12/1997,Dmitri Sobolev,Kazakhstan,Avalanche
Annapurna-I,23/03/1997,Ngati,Nepal,Fall
Annapurna-I,11/10/1992,Pierre Béghin,France,Fall
Annapurna-I,20/10/1991,Gabriel Denamur,Belgium,Unknown
Annapurna-I,19/09/1991,Seog-jee Lee,South Korea,Avalanche
Annapurna-I,19/09/1991,Song-gu Lee,South Korea,Avalanche
Annapurna-I,19/09/1991,Sange Dawa,Nepal,Avalanche
Annapurna-I,19/09/1991,Tendi Lhakpa,Nepal,Avalanche
Annapurna-I,19/09/1991,Jangbu Nurbu,Nepal,Avalanche
Annapurna-I,19/09/1991,Tenzing,Nepal,Avalanche
Annapurna-I,28/10/1989,Milan Metkov,Bulgaria,Unknown
Annapurna-I,28/10/1989,Ognian Stoykov,Bulgaria,Unknown
Annapurna-I,18/10/1988,Ramiro Navarrete,Ecuador,Fall
Annapurna-I,10/1988,Jiri Pelikan,Czechoslovakia,Fall on descent
Annapurna-I,29/09/1988,Akihiro Mori,Japan,Avalanche
Annapurna-I,29/09/1988,Ang Dawa,Japan,Avalanche
Annapurna-I,20/12/1987,Toshiyuki Kobayashi,Japan,Fall
Annapurna-I,20/12/1987,Yasuhira Saito,Japan,Fall
Annapurna-I,24/05/1987,Andres Ferrer,Spain,Fall
Annapurna-I,23/09/1986,Benoit Grison,France,Fall
Annapurna-I,07/12/1984,Pasang Norbu,Nepal,Unknown
Annapurna-I,07/12/1984,Keepa,Nepal,Unknown
Annapurna-I,21/04/1984,Philippe Dumas,France,Avalanche
Annapurna-I,21/04/1984,Patrick Taglianut,France,Avalanche
Annapurna-I,24/09/1983,Yang-kun Chung,South Korea,Avalanche
Annapurna-I,24/09/1983,Magar Maila,Nepal,Avalanche
Annapurna-I,24/09/1983,Rama Magar Tika,Nepal,Avalanche
Annapurna-I,18/10/1982,Susumu Akimatsu,Japan,Avalanche
Annapurna-I,18/10/1982,Miko Ono,Japan,Avalanche
Annapurna-I,17/10/1982,Alex MacIntyre,United Kingdom,Rock fall
Annapurna-I,12/05/1982,Rai Shanti,Nepal,Fall
Annapurna-I,04/05/1982,Werner Bürkli,Switzerland,Heart attack
Annapurna-I,31/10/1981,Yasuji Kato,Japan,Fall
Annapurna-I,28/09/1981,Andre Durieux,France,Avalanche
Annapurna-I,28/09/1981,Yves Favre,France,Avalanche
Annapurna-I,27/09/1981,Ang Nima,Nepal,Avalanche
Annapurna-I,27/09/1981,Pemba Tshering,Nepal,Avalanche
Annapurna-I,19/09/1979,Eric Roberts,United Kingdom,Avalanche
Annapurna-I,19/09/1979,Maynard Cohick,United States,Avalanche
Annapurna-I,19/09/1979,Gil Harder,United States,Avalanche
Annapurna-I,05/1979,Yves Morin,France,Exhaustion
Annapurna-I,17/10/1978,Alison Chadwick-Onyszkiewicz,United Kingdom,Fall
Annapurna-I,17/10/1978,Vera Watson,United States,Fall
Annapurna-I,16/04/1975,Franz Tegischer,Austria,Avalanche
Annapurna-I,26/09/1973,Leo Cerruti,Italy,Avalanche
Annapurna-I,26/09/1973,Miller Rava,Italy,Avalanche
Annapurna-I,18/05/1973,Tadashi Ushigoe,Japan,Avalanche
Annapurna-I,18/05/1973,Sadatoshi Takahashi,Japan,Avalanche
Annapurna-I,18/05/1973,Masanori Hama,Japan,Avalanche
Annapurna-I,18/05/1973,Kazumi Katagiri,Japan,Avalanche
Annapurna-I,18/05/1973,Rinje,Nepal,Avalanche
Annapurna-I,30/05/1970,Ian Clough,United Kingdom,Serac fall
Broad-Peak,19/07/2021,Kim Hong-bin,South Korea,Fall
Broad-Peak,07/2015,Qamber Ali Jangjupa,Pakistan,Avalanche
Broad-Peak,23/07/2013,Aidin Bozorgi,Iran,Disappeared
Broad-Peak,23/07/2013,Mojtaba Jarrahi,Iran,Disappeared
Broad-Peak,23/07/2013,Pouya Keivan,Iran,Disappeared
Broad-Peak,08/07/2013,Dana Heide,Germany,Slipped into a glacial stream near base camp
Broad-Peak,06/03/2013,Maciej Berbeka,Poland,Disappeared
Broad-Peak,06/03/2013,Tomasz Kowalski,Poland,Presumably exhaustion
Broad-Peak,31/07/2012,Muhammad Baqir,Pakistan,Fall
Broad-Peak,31/07/2012,Zuzana Hofmannová,Czech Republic,Disappeared
Broad-Peak,25/07/2011,Jeffrey Wai Hung Chung,Hong Kong,Fall in crevasse
Broad-Peak,18/07/2009,Cristina Castagna,Italy,Fall
Broad-Peak,30/06/2008,Vlado Plulik,Slovakia,Disappeared
Broad-Peak,08/07/2006,Markus Kronthaler,Austria,Exhaustion
Broad-Peak,11/07/1999,Seung-Kwon Hur,South Korea,Disappeared
Broad-Peak,29/07/1998,Pascale Bessieres,France,Disappeared
Broad-Peak,29/07/1998,Eric Escoffier,France,Disappeared
Broad-Peak,16/07/1997,Jeffrey Ian Bubb,United States,Avalanche
Broad-Peak,16/07/1997,Fukuzo Yokotagawa,Japan,Avalanche
Broad-Peak,20/07/1996,Dong-keun Han,South Korea,Died on descent due to bad weather
Broad-Peak,20/07/1996,Jae-mo Yang,South Korea,Died on descent due to bad weather
Broad-Peak,20/07/1996,Sun-taek Lim,South Korea,Died on descent due to bad weather
Broad-Peak,12/07/1995,Hyun-jae Park,South Korea,Fall
Broad-Peak,22/06/1994,Alexej Himer,Czech Republic,Fall
Broad-Peak,11/06/1994,Bohuslav Bilek,Czech Republic,Pulmonary edema
Broad-Peak,24/07/1990,Kurt Lyncke-Krüger,West Germany,Fall
Broad-Peak,20/08/1988,Yong-il Jang,South Korea,Avalanche
Broad-Peak,22/08/1986,Liam Scott Elliott,United Kingdom,Fell
Broad-Peak,18/08/1985,Barbara Kozłowska,Poland,Drowned in a glacier stream above BC
Broad-Peak,16/05/1985,Hans Frick,Canada,Avalanche
Broad-Peak,29/06/1983,Peter Thexton,United Kingdom,Pulmonary edema
Broad-Peak,05/08/1981,Enric Pujol,Spain,Fall
Broad-Peak,29/07/1975,Andrzej Sikorski,Poland,Fall
Broad-Peak,29/07/1975,Marek Kęsicki,Poland,Fall
Broad-Peak,28/07/1975,Bohdan Nowaczyk,Poland,Fall
Cho-Oyu,05/2019,Phujung Bhote,Nepal,Crevasse
Cho-Oyu,16/05/2018,Park Shin-yong,South Korea,Exhaustion or altitude sickness
Cho-Oyu,26/09/2011,Joerg Henning,Germany,Avalanche
Cho-Oyu,23/09/2011,Rostislav Krpec,Czech Republic,Unknown
Cho-Oyu,22/05/2011,Ronald Naar,Netherlands,Arrhythmia
Cho-Oyu,03/10/2010,Walter Nones,Italy,Fall
Cho-Oyu,03/05/2010,Serguey Nikitin,Russia,Altitude sickness
Cho-Oyu,25/09/2009,Clifton Maloney,United States,Illness
Cho-Oyu,02/06/2009,Dennis Verhoeve,Netherlands,Fall
Cho-Oyu,05/10/2008,Miha Valič,Slovenia,Altitude sickness
Cho-Oyu,04/10/2008,Guy Leveille,Canada,Fall
Cho-Oyu,09/05/2006,Raymund Spang,Germany,Fall
Cho-Oyu,11/05/2005,Lubos Stacho,Slovakia,Illness
Cho-Oyu,13/10/2004,Xabier Ormazabal,Spain,Hypothermia
Cho-Oyu,06/10/2003,Christos Barouchas,Greece,Exhaustion
Cho-Oyu,16/05/2003,Guenter Welkisch,Germany,Altitude sickness
Cho-Oyu,14/05/2003,Paul Carr,Australia,Illness
Cho-Oyu,14/05/2002,Adam Cinnamond,United Kingdom,Crevasse
Cho-Oyu,30/04/2002,Chhong Ringee,Nepal,Unknown
Cho-Oyu,09/09/2001,Su-ya Kim,South Korea,Altitude sickness
Cho-Oyu,11/10/2000,Pavle Milošević,Serbia and Montenegro,Illness
Cho-Oyu,20/09/2000,Pemba Gyalzen,Nepal,Avalanche
Cho-Oyu,20/09/2000,Pasang Nuru,Nepal,Avalanche
Cho-Oyu,20/09/2000,Pasang Nima,Nepal,Avalanche
Cho-Oyu,04/05/2000,Pavel Bonadysenko,Russia,Fall
Cho-Oyu,04/05/2000,Noora Toivonen,Finland,Fall
Cho-Oyu,16/01/1999,Joan Carrillo Junca,Spain,Fall
Cho-Oyu,26/09/1998,Alexander Jaggi,Switzerland,Illness
Cho-Oyu,13/05/1998,Gerald Roesner,Germany,Fall
Cho-Oyu,30/04/1998,Viktor Stepanov,Russia,Illness
Cho-Oyu,10/10/1996,Lubos Becak,Czech Republic,Altitude sickness
Cho-Oyu,06/10/1996,Hiroshi Oya,Japan,Altitude sickness
Cho-Oyu,20/04/1996,Friedrich Zintl,Germany,Illness
Cho-Oyu,08/10/1994,Lhakpa Gyalu,Nepal,Illness
Cho-Oyu,24/01/1994,Juan Carlos Piedra,Switzerland,Fall
Cho-Oyu,24/01/1994,Jean-Luc Beausire,Switzerland,Fall
Cho-Oyu,20/05/1992,Philippe Monnerat,Switzerland,Fall
Cho-Oyu,21/10/1991,Yuri Grebeniuk,Soviet Union,Falling rock/ice
Cho-Oyu,11/05/1991,Horst Wasmann,Germany,Fall
Cho-Oyu,07/05/1990,Chandra Gurung,Nepal,Illness
Cho-Oyu,25/12/1989,Ang Lhakpa Nuru,Nepal,Fall
Cho-Oyu,29/09/1988,Daniel Bovero,France,Altitude sickness
Cho-Oyu,12/05/1988,Stefan Wörner,Switzerland,Altitude sickness
Cho-Oyu,23/10/1986,Pierre-Alain Steiner,Switzerland,Fall
Cho-Oyu,19/05/1982,Reinhard Karl,West Germany,Avalanche
Cho-Oyu,07/05/1964,Alois Thurmayr,West Germany,Altitude sickness
Cho-Oyu,04/05/1964,Georg Huber,West Germany,Altitude sickness
Cho-Oyu,02/10/1959,Chhowang,Nepal,Avalanche
Cho-Oyu,02/10/1959,Ang Norbu,Nepal,Avalanche
Cho-Oyu,02/10/1959,Claudine van der Straten-Ponthoz,Belgium,Avalanche
Cho-Oyu,02/10/1959,Claude Kogan,France,Avalanche
Cho-Oyu,28/04/1958,Narendra Dhar Jayal,India,Altitude sickness
Dhaulagiri-I,12/04/2022,Antonios Sykaris,Greece,Illness
Dhaulagiri-I,27/09/2018,Dawa Gyaljen Sherpa,Nepal,Avalanche
Dhaulagiri-I,30/04/2018,Simone La Terra,Italy,Storm
Dhaulagiri-I,20/05/2017,Ang Ngima Sherpa,Nepal,Fall/Exposure
Dhaulagiri-I,19/05/2016,Rajib Bhattacharya,India,Altitude sickness
Dhaulagiri-I,16/05/2016,Christiaan Johan Wilson,Netherlands,Disappeared
Dhaulagiri-I,15/10/2014,Ján Matlák,Slovakia,Avalanche
Dhaulagiri-I,15/10/2014,Vladimír Švancár,Slovakia,Avalanche
Dhaulagiri-I,15/10/2014,Bhoj Kumar Rai,Nepal,Avalanche
Dhaulagiri-I,15/10/2014,Gopal Rai,Nepal,Avalanche
Dhaulagiri-I,15/10/2014,Dorje Sherpa,Nepal,Avalanche
Dhaulagiri-I,26/05/2013,Juanjo Garra,Spain,Fall and exposure
Dhaulagiri-I,23/05/2013,Chizuko Kono,Japan,Exhaustion
Dhaulagiri-I,23/05/2013,Dawa Sherpa,Nepal,Disappeared
Dhaulagiri-I,28/09/2010,Daisuke Honda,Japan,Avalanche
Dhaulagiri-I,28/09/2010,Osamu Tanabe,Japan,Avalanche
Dhaulagiri-I,28/09/2010,Pasang Gyelu,Nepal,Avalanche
Dhaulagiri-I,28/09/2010,Toshio Yamamoto,Japan,Avalanche
Dhaulagiri-I,13/05/2010,Zhao Liang,China,Fall
Dhaulagiri-I,13/05/2010,Li Bin,China,Cold/ Exhaustion
Dhaulagiri-I,13/05/2010,Han Xin,China,Fall
Dhaulagiri-I,05/2009,Mehdi Etemad Far,Iran,Fall
Dhaulagiri-I,08/04/2009,Piotr Morawski,Poland,Fall into crevasse
Dhaulagiri-I,05/05/2008,Rafael Guillén,Spain,Fall
Dhaulagiri-I,05/05/2008,Darío Bracali,Argentina,Disappeared
Dhaulagiri-I,12/05/2007,Santiago Sagaste,Spain,Avalanche
Dhaulagiri-I,12/05/2007,Ricardo Valencia,Spain,Avalanche
Dhaulagiri-I,30/04/2007,Sergio Dalla Longa,Italy,Fall
Dhaulagiri-I,14/10/2001,Yukihiko Shinagawa,Japan,Disappeared
Dhaulagiri-I,14/10/2001,Ryushi Hoshino,Japan,Disappeared
Dhaulagiri-I,14/10/2001,Masashi Fukumoto,Japan,Disappeared
Dhaulagiri-I,11/10/2001,Jose Antonio Garces,Spain,Fall
Dhaulagiri-I,07/10/2000,Gyalzen Chuldim,Nepal,Avalanche
Dhaulagiri-I,29/09/2000,Soo-ho Lee,South Korea,Avalanche
Dhaulagiri-I,24/10/1999,Ginette Harrison,United Kingdom,Avalanche
Dhaulagiri-I,24/10/1999,Dawa Dorje,Nepal,Avalanche
Dhaulagiri-I,02/10/1998,Charalampos (Babis) Tsoupras,Greece,Fall
Dhaulagiri-I,11/05/1998,Chantal Mauduit,France,Avalanche
Dhaulagiri-I,11/05/1998,Ang Tshering,Nepal,Avalanche
Dhaulagiri-I,05/1998,Nikos Papandreou,Greece,Fall
Dhaulagiri-I,06/10/1995,Isayoshi Tawaraya,Japan,Disappeared
Dhaulagiri-I,15/05/1995,Albrecht Hammann,Germany,Exposure
Dhaulagiri-I,18/10/1994,Galina Chekanova,Ukraine,Fall
Dhaulagiri-I,26/09/1994,Robert Bähler,Switzerland,Fall
Dhaulagiri-I,06/10/1993,Gary Ball,New Zealand,Altitude Sickness
Dhaulagiri-I,11/05/1992,Sanda Dumitrescu-Isaila,Romania,Disappeared
Dhaulagiri-I,11/05/1992,Taina Coliban,Romania,Disappeared
Dhaulagiri-I,02/05/1992,Hubert Weinzierl,Germany,Heart Failure
Dhaulagiri-I,31/10/1990,Dainius Makauskas,Lithuania,Disappeared
Dhaulagiri-I,29/04/1990,Wangel,Nepal,Avalanche
Dhaulagiri-I,25/12/1989,Scot McGrath,United States,Avalanche
Dhaulagiri-I,25/12/1989,Gregory Barber,United States,Avalanche
Dhaulagiri-I,25/12/1989,Wangchuk Nuru,Nepal,Avalanche
Dhaulagiri-I,10/10/1989,Francesc (Quico) Dalmases,Spain,Disappeared
Dhaulagiri-I,25/09/1989,Sarki Kami,Nepal,Avalanche
Dhaulagiri-I,25/09/1989,Ajiwa,Nepal,Avalanche
Dhaulagiri-I,21/09/1986,Franz Mülleder,Austria,Edema
Dhaulagiri-I,23/10/1984,Jan Simon,Czechoslovakia,Fall
Dhaulagiri-I,23/05/1981,Mario Serrano,Argentina,Cold/Exhaustion
Dhaulagiri-I,07/10/1980,Lynette R. Griffith,Australia,Avalanche
Dhaulagiri-I,14/05/1979,Sherpa Pemba,Nepal,Disappeared
Dhaulagiri-I,13/05/1979,Jean-Louis Sabarly,France,Avalanche
Dhaulagiri-I,13/05/1979,Eric Poumailloux,France,Avalanche
Dhaulagiri-I,20/10/1978,Katsuyoshi Kogure,Japan,Fall/Exposure
Dhaulagiri-I,23/09/1978,Kiyoshi Kobayashi,Japan,Avalanche
Dhaulagiri-I,23/09/1978,Yujiro Fukasawa,Japan,Avalanche
Dhaulagiri-I,23/09/1978,Hiroshi Akuzawa,Japan,Avalanche
Dhaulagiri-I,21/04/1978,Katsumi Naganuma,Japan,Exhaustion
Dhaulagiri-I,26/03/1975,Yoshitada Numao,Japan,Avalanche
Dhaulagiri-I,26/03/1975,Tetsu Imura,Japan,Avalanche
Dhaulagiri-I,26/03/1975,Pasang Kami,Nepal,Avalanche
Dhaulagiri-I,26/03/1975,Dorje,Nepal,Avalanche
Dhaulagiri-I,26/03/1975,Dakiya,Nepal,Avalanche
Dhaulagiri-I,28/04/1969,David Seidman,United States,Avalanche
Dhaulagiri-I,28/04/1969,Ross William,United States,Avalanche
Dhaulagiri-I,28/04/1969,Vincent Hoeman,United States,Avalanche
Dhaulagiri-I,28/04/1969,Paul Gerhard,United States,Avalanche
Dhaulagiri-I,28/04/1969,Boyd Everett,United States,Avalanche
Dhaulagiri-I,28/04/1969,Pemba Phutar,Nepal,Avalanche
Dhaulagiri-I,28/04/1969,Tenzing,Nepal,Avalanche
Dhaulagiri-I,29/04/1959,Heinrich Roiss,Austria,Cold/Exhaustion
Dhaulagiri-I,26/05/1956,Bal Bahadur,Nepal,Avalanche
Dhaulagiri-I,30/06/1954,Francisco (Paco) Ibanez,Argentina,Exposure
Everest,08/05/2022,Pavel Kostrikin,Russia,Fell sick
Everest,14/04/2022,Ngimi Tenji Sherpa,Nepal,Exhaustion and collapse
Everest,23/05/2021,Wong Dorchi Sherpa,Nepal,Fall into a crevasse
Everest,18/05/2021,Pemba Tashi Sherpa,Nepal,Fall into a crevasse
Everest,12/05/2021,Abdul Waraich,Switzerland,Exhaustion
Everest,12/05/2021,Puwei Liu,United States,Exhaustion
Everest,27/05/2019,Christopher Jon Kulish,United States,Cardiac event during descent
Everest,25/05/2019,Robin Haynes Fisher,United Kingdom,Exhaustion during descent
Everest,24/05/2019,Dhruba Bista,Nepal,Exhaustion and altitude sickness
Everest,24/05/2019,Kevin Hynes,Ireland,Altitude sickness
Everest,23/05/2019,Kalpana Dash,India,Exhaustion on descent
Everest,23/05/2019,Anjali S Kulkarni,India,Exhaustion on descent
Everest,23/05/2019,Ernst Landgraf,Austria,Exhaustion on descent
Everest,23/05/2019,Nihal Bagwan,India,Exhaustion on descent
Everest,22/05/2019,Donald Cash,United States,Altitude sickness
Everest,17/05/2019,Ravi Thakar,India,Altitude sickness
Everest,16/05/2019,Séamus (Shay) Lawless,Ireland,Presumed dead after fall
Everest,20/04/2019,Chris Daly,United States,Died after a fall while trekking down from base camp
Everest,21/05/2018,Damai Sarki Sherpa,Nepal,Fall into a crevasse
Everest,21/05/2018,Nobukazu Kuriki,Japan,"Hypothermia, had previously reported ""persistent cough and pain"" during attempt"
Everest,20/05/2018,Gjeorgi Petkov,North Macedonia,Cardiac arrest
Everest,18/05/2018,Pasang Norbu Sherpa,Nepal,Stroke
Everest,14/05/2018,Lam Babu Sherpa,Nepal,Disappearance (reportedly suffered from snow blindness)
Everest,21/05/2017,Ravi Kumar,India,Fall into a 200m crevasse
Everest,21/05/2017,Francesco Enrico Marchetti,Australia,Altitude sickness
Everest,21/05/2017,Vladimír Štrba,Slovakia,Altitude sickness
Everest,20/05/2017,Roland Yearwood,United States,Altitude sickness
Everest,05/05/2017,Min Bahadur Sherchan,Nepal,Heart Attack
Everest,22/05/2016,Goutam Ghosh,India,Exposure
Everest,22/05/2016,Paresh Chandra Nath,India,Exposure
Everest,22/05/2016,Subhash Pal,India,Altitude sickness
Everest,22/05/2016,Marisa Elizabeth Strydom,Australia  South Africa,"Snow blindness, stroke"
Everest,21/05/2016,Eric Arnold,Netherlands,Altitude sickness
Everest,19/05/2016,Phurba Sherpa,Nepal,Fall
Everest,11/05/2016,Charles MacAdams,Canada,Cardiac event
Everest,05/2015,Jangbu Sherpa,Nepal,Died in Kathmandu due to injuries sustained in the Base Camp avalanche following the April 2015 Nepal earthquake
Everest,25/04/2015,Unknown climber,?,Base Camp avalanche following the April 2015 Nepal earthquake
Everest,25/04/2015,Shiva Kumar Shrestha,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake
Everest,25/04/2015,Vinh B Truong,United States Vietnam,Base Camp avalanche following the April 2015 Nepal earthquake
Everest,25/04/2015,Lhakpa Chhiring Sherpa,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake
Everest,25/04/2015,Renu Fotedar,Australia India,Base Camp avalanche following the April 2015 Nepal earthquake
Everest,25/04/2015,Tenzing (Tengien) Bhote,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake
Everest,25/04/2015,Krishna Kumar Rai,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake
Everest,25/04/2015,Pasang Temba Sherpa,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake
Everest,25/04/2015,Pema Yishi (Hissi) Sherpa,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake
Everest,25/04/2015,Chhimi Dawa Sherpa,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake
Everest,25/04/2015,Maila (Milan) Rai,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake
Everest,25/04/2015,Dawa Tsering Sherpa,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake
Everest,25/04/2015,Pemba Sherpa,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake
Everest,25/04/2015,Thomas Ely Taplin,United States,Base Camp avalanche following the April 2015 Nepal earthquake
Everest,25/04/2015,Marisa Eve Girawong,United States,Base Camp avalanche following the April 2015 Nepal earthquake
Everest,25/04/2015,Daniel Paul Fredinburg,United States,Base Camp avalanche following the April 2015 Nepal earthquake
Everest,18/04/2014,Aash Bahadur Gurung,Nepal,2014 Mount Everest Avalanche
Everest,18/04/2014,PemTenji Sherpa,Nepal,2014 Mount Everest Avalanche
Everest,18/04/2014,Ankaji Sherpa,Nepal,2014 Mount Everest Avalanche
Everest,18/04/2014,Pasang Karma Sherpa,Nepal,2014 Mount Everest Avalanche
Everest,18/04/2014,Phur Temba Sherpa,Nepal,2014 Mount Everest Avalanche
Everest,18/04/2014,Then Dorjee Sherpa,Nepal,2014 Mount Everest Avalanche
Everest,18/04/2014,Dorjee Khatri,Nepal,2014 Mount Everest Avalanche
Everest,18/04/2014,Chhiring Ongchu Sherpa,Nepal,2014 Mount Everest Avalanche
Everest,18/04/2014,Lapka Tenjing Sherpa,Nepal,2014 Mount Everest Avalanche
Everest,18/04/2014,Phurba Ongyal Sherpa,Nepal,2014 Mount Everest Avalanche
Everest,18/04/2014,Tenzing Chottar Sherpa,Nepal,2014 Mount Everest Avalanche
Everest,18/04/2014,Nima Sherpa,Nepal,2014 Mount Everest Avalanche
Everest,18/04/2014,Ang Tshiri Sherpa,Nepal,2014 Mount Everest Avalanche
Everest,18/04/2014,Dorji Sherpa,Nepal,2014 Mount Everest Avalanche
Everest,18/04/2014,Mingma Nuru Sherpa,Nepal,2014 Mount Everest Avalanche
Everest,02/04/2014,Mingma Tenzing Sherpa,Nepal,HAPE
Everest,22/05/2013,Unknown climber,Nepal,Suspected altitude sickness
Everest,21/05/2013,Sajal Khaled(Mohammed Khaled Hossain),Bangladesh,Suspected altitude sickness
Everest,21/05/2013,Seo Sung-ho,South Korea,Suspected altitude sickness
Everest,17/05/2013,Namgyal Sherpa,Nepal,Unknown
Everest,15/05/2013,Alexey Bolotov,Russia,Fall
Everest,07/05/2013,Lobsang Sherpa,Nepal,Fall
Everest,05/05/2013,Sergey Ponomarev,Russia,Suspected cardiac arrest
Everest,05/05/2013,DaRita Sherpa,Nepal,Suspected cardiac arrest
Everest,07/04/2013,Mingma Sherpa,Nepal,Falling into a crevasse
Everest,20/05/2012,Ralf D. Arnold,Germany,Exhaustion and related complications after breaking leg at Second Step
Everest,20/05/2012,Juan José Polo Carbayo,Spain,Exhaustion
Everest,20/05/2012,Ha Wenyi,China,Suspected altitude sickness
Everest,19/05/2012,Song Won-bin,South Korea,Fall
Everest,19/05/2012,Eberhard Schaaf,Germany,Cerebral oedema
Everest,19/05/2012,Shriya Shah-Klorfine,Canada,Exhaustion
Everest,21/04/2012,Namgyal Tshering Sherpa,Nepal,Fall into a crevasse
